spanish,english
Vuelve a casa.,Come back home.
Regresa pronto.,Come back soon.
Vuelve pronto.,Come back soon.
Baja aquí.,Come down here.
Ven pronto.,Come here soon.
Vente pronto.,Come here soon.
Ven pronto aquí.,Come here soon.
Entra.,Come on inside.
Ven entra.,Come on inside.
"Vamos, hazlo.","Come on, do it."
"Vamos, háganlo.","Come on, do it."
Ven acá.,Come over here.
Ven p'acá.,Come over here.
Contacte a mi hijo.,Contact my son.
Copia este archivo.,Copy this file.
Las vacas comen pasto.,Cows eat grass.
Las vacas dan leche.,Cows give milk.
Pártelo a la mitad.,Cut it in half.
Papá no está en casa.,Dad isn't home.
¿Te he hecho daño?,Did I hurt you?
¿Yo dije eso?,Did I say that?
¿Te he despertado?,Did I wake you?
¿Tom lo compró?,Did Tom buy it?
¿Acaso te olvidaste?,Did you forget?
¿Te has olvidado?,Did you forget?
¿Entendió?,Did you get it?
¿Acaso dijiste treinta?,Did you say 30?
¿Lo viste?,Did you see it?
La cena va por mi cuenta.,Dinner's on me.
Yo pago la cena.,Dinner's on me.
¡La cena está lista!,Dinner's ready!
La cena está preparada.,Dinner's ready.
Haz lo que quieras.,Do as you like.
Haz como gustes.,Do as you like.
Haz lo que quieras.,Do as you want.
Hazlo de esta manera.,Do it this way.
Hágalo mañana.,Do it tomorrow.
Hazlo tú mismo.,Do it yourself.
Háztelo.,Do it yourself.
No hagas eso.,Do not do that.
Haz eso por mí.,Do that for me.
¿Acaso te conocemos?,Do we know you?
¿Os conocemos?,Do we know you?
¿Te conocemos?,Do we know you?
¿Me odias?,Do you hate me?
¿Lo tienes?,Do you have it?
¿Me oyes?,Do you hear me?
¿Me escuchás?,Do you hear me?
¿Lo sabes?,Do you know it?
¿Me conocés?,Do you know me?
¿Me conocen?,Do you know me?
¿Me conoce usted?,Do you know me?
¿Nos conoces?,Do you know us?
¿Te gusta?,Do you like it?
¿Me quieres?,Do you love me?
¿Me amas?,Do you love me?
¿Te gusto?,Do you love me?
¿Me echas de menos?,Do you miss me?
¿Lo prometes?,Do you promise?
¿Tú reciclas?,Do you recycle?
¿Lo quieres?,Do you want it?
¿Lo queréis?,Do you want it?
¿Lo quieren ustedes?,Do you want it?
¿Eso funciona?,Does that work?
¿Duele esto?,Does this hurt?
¿Te duele esto?,Does this hurt?
¿Le duele esto?,Does this hurt?
Los perros son listos.,Dogs are smart.
Los perros son inteligentes.,Dogs are smart.
No me des la lata.,Don't annoy me.
No sea un cerdo.,Don't be a pig.
No te enfades.,Don't be angry.
No se enfade.,Don't be angry.
No seas cruel.,Don't be cruel.
No seas ingenuo.,Don't be naive.
No seas tonto.,Don't be silly.
No seas boludo.,Don't be silly.
No me culpes.,Don't blame me.
No te quejes.,Don't complain.
No te pierdas.,Don't get lost.
No vayas ahí.,Don't go there.
No ayudes a Tom.,Don't help Tom.
No la lastimes.,Don't hurt her.
No lo lastimes.,Don't hurt him.
No me dejes.,Don't leave me.
No nos deje.,Don't leave us.
No corras aquí.,Don't run here.
No digas eso.,Don't say that.
¡No digas eso!,Don't say that.
No te levantes.,Don't stand up.
No forcejees.,Don't struggle.
No me tientes.,Don't tempt me.
No lo toques.,Don't touch it.
¡No me toques!,Don't touch me!
No veas la televisión.,Don't watch TV.
Bebe algo de té.,Drink some tea.
¡Suelta el cuchillo!,Drop the knife!
Agacha tu cabeza.,Duck your head.
Cómete todo.,Eat everything.
Cómanse todo.,Eat everything.
Disfrute del espectáculo.,Enjoy the show.
Disfruta del espectáculo.,Enjoy the show.
Disfruten del espectáculo.,Enjoy the show.
Disfrutad del espectáculo.,Enjoy the show.
Pásala bien.,Enjoy yourself.
Pásenla bien.,Enjoy yourself.
Todos lo sabían.,Everybody knew.
Todo el mundo lo sabía.,Everybody knew.
Todos mienten.,Everybody lies.
Todo el mundo pagó.,Everybody paid.
Todos pagaron.,Everybody paid.
Todo el mundo llora.,Everyone cries.
Todo el mundo se quedó.,Everyone stood.
Peleen como hombres.,Fight like men.
Pelead como hombres.,Fight like men.
Pescar es divertido.,Fishing is fun.
Sigue al coche.,Follow the car.
Siga al coche.,Follow the car.
Forma dos filas.,Form two lines.
Súbete a la van.,Get in the van.
Métete en la caravana.,Get in the van.
Tráeme una toalla.,Get me a towel.
Ven acá.,Get on in here.
¡Súbase al bus!,Get on the bus.
¡Súbete al bus!,Get on the bus.
Subíos al autobús.,Get on the bus.
Descansa un poco.,Get some sleep.
Duerme algo.,Get some sleep.
Dáselo a ella.,Give it to her.
Dáselo.,Give it to her.
Dáselo a él.,Give it to him.
Dáselo.,Give it to him.
Dame una pista.,Give me a hint.
Dame un beso.,Give me a kiss.
Dame mi bolsa.,Give me my bag.
Dame mi cartera.,Give me my bag.
Ayúdanos.,Give us a hand.
Vuelve a la cama.,Go back to bed.
Andá a cambiarte.,Go get changed.
Ve a cambiarte.,Go get changed.
Buenas tardes.,Good afternoon.
"Buena suerte, Tom.","Good luck, Tom."
"Buen trabajo, Tom.","Good work, Tom."
Pásaselo.,Hand it to him.
Tráeme mi taza.,Hand me my mug.
¡Feliz año!,Happy New Year!
Felices vacaciones.,Happy holidays.
¿Han ido?,Have they gone?
¿Han salido?,Have they gone?
¿Has comido?,Have you eaten?
¿Comiste?,Have you eaten?
¿Ya comiste?,Have you eaten?
¿Has dormido?,Have you slept?
¿Habéis dormido?,Have you slept?
¿Ha dormido usted?,Have you slept?
Él aceleró.,He accelerated.
Casi se muere.,He almost died.
Él también lo vio.,He also saw it.
Él se ha hecho rico.,He became rich.
Él se mordió el labio.,He bit his lip.
Ha venido en autobús.,He came by bus.
Él vino en carro.,He came by car.
Él no sabe contar.,He can't count.
Él me engañó.,He deceived me.
Él se lo merecía.,He deserved it.
Me tiene antipatía.,He dislikes me.
Él no miente.,He doesn't lie.
Él no se pone moreno.,He doesn't tan.
Él elevó un volantín.,He flew a kite.
Él tiene 12 hijos.,He has 12 sons.
Él tiene barba.,He has a beard.
Tiene barba.,He has a beard.
En eso tiene razón.,He has a point.
Ha cambiado.,He has changed.
Tiene que venir.,He has to come.
Él odiaba mentir.,He hated lying.
Él me regresó el golpe.,He hit me back.
Él me devolvió el golpe.,He hit me back.
Es canadiense.,He is Canadian.
Él es japonés.,He is Japanese.
Él es médico.,He is a doctor.
Él es un genio.,He is a genius.
Él es golfista.,He is a golfer.
Él es escritor.,He is a writer.
Él es actor.,He is an actor.
Él está arruinado.,He is bankrupt.
Él es un sin techo.,He is homeless.
Es mi tío.,He is my uncle.
Él es mi tío.,He is my uncle.
Él no es tonto.,He is not dumb.
Él es extrovertido.,He is outgoing.
Él es puntual.,He is punctual.
Él estaba tirado de espaldas.,He lay face up.
Él aprende rápido.,He learns fast.
Le gusta la gelatina.,He likes jelly.
Le gusta el dinero.,He likes money.
Él vive solo.,He lives alone.
Él miró hacia otro lado.,He looked away.
Él miró hacia atrás.,He looked back.
Él tenía buen aspecto.,He looked well.
Él se ve joven.,He looks young.
Adora la música.,He loves music.
A él le encanta la música.,He loves music.
Le falta dinero.,He needs money.
Él juega allí.,He plays there.
Él me respeta.,He respects me.
También lo vio.,He saw it also.
Él también lo vio.,"He saw it, too."
La retó.,He scolded her.
La increpó.,He scolded her.
Él la riñó.,He scolded her.
Parece enfadada.,He seems angry.
Parece feliz.,He seems happy.
Él parece cansado.,He seems tired.
Él vende frutas.,He sells fruit.
Vende frutas.,He sells fruit.
Debería venir.,He should come.
Él le abofeteó a ella.,He slapped her.
Él habla mucho.,He talks a lot.
Él confió en vos.,He trusted you.
Él se fue.,He walked away.
Él caminó a casa.,He walked home.
Quiere ir.,He wants to go.
Él era inglés.,He was English.
Él estaba en casa.,He was at home.
Se ahogó.,He was drowned.
Él fue invitado.,He was invited.
Él era paciente.,He was patient.
Se fue al extranjero.,He went abroad.
Él se fue a acostar.,He went to bed.
Él se acostó.,He went to bed.
Él trabajó duro.,He worked hard.
Él es un poco tímido.,He's a bit shy.
Es florista.,He's a florist.
Ahora es un hombre.,He's a man now.
Él es un vago.,He's a slacker.
Él es un perezoso.,He's a slacker.
Está bien.,He's all right.
Él está bien.,He's all right.
Él es un animal.,He's an animal.
Él es un escritor.,He's an author.
Está deprimido.,He's depressed.
Él está en peligro.,He's in danger.
Él está en prisión.,He's in prison.
Él es mi padre.,He's my father.
Él no va.,He's not going.
Él no está listo.,He's not ready.
Es muy tonto.,He's so stupid.
Está demasiado borracho.,He's too drunk.
Él no está asegurado.,He's uninsured.
¡Hola a todos!,Hello everyone!
Ayuda a Tom a estudiar.,Help Tom study.
Ayúdale a Tom a estudiar.,Help Tom study.
La ayuda está llegando.,Help is coming.
Aquí viene Tom.,Here comes Tom.
Aquí hay un libro.,Here is a book.
Aquí está mi llave.,Here is my key.
Aquí vienen.,Here they come.
Aquí está mi tarjeta.,Here's my card.
Aquí está el bus.,Here's the bus.
"Toma, prueba esto.","Here, try this."
"Oye, ven aquí.","Hey, come here."
"Oye, venid aquí.","Hey, come here."
"Oiga, venga aquí.","Hey, come here."
"Hola, pasa adelante.","Hi, come on in."
"Hola, entra.","Hi, come on in."
Esconde ese libro.,Hide that book.
Escondé la plata.,Hide the money.
Le dolía la cabeza.,His head ached.
Su hijo está enfermo.,His son is ill.
Su hijo está malo.,His son is ill.
¿Cómo van las cosas?,How are things?
¿Cómo puedo ayudar?,How can I help?
¿Cuán profundo es?,How deep is it?
¡Qué asco!,How disgusting!
¿Cómo nos vemos?,How do we look?
¿Cómo de bueno es?,How good is he?
¡Qué afortunado soy!,How lucky I am!
¿Cuánto cuesta eso?,How much is it?
¿Cuánto es?,How much is it?
¿Cuántos años tiene Tom?,How old is Tom?
¿Qué tan alto es él?,How tall is he?
¿Cómo de alto es él?,How tall is he?
¿Cuánto mide él?,How tall is he?
¿Qué tal en Boston?,How was Boston?
¿Cómo va el negocio?,How's business?
¿Cómo está tu mujer?,How's the wife?
"¡Apúrensen, muchachos!","Hurry up, guys."
Ya sé.,I already know.
Soy un hombre tímido.,I am a shy boy.
Soy un chico tímido.,I am a shy boy.
Soy estudiante.,I am a student.
Soy un estudiante.,I am a student.
Yo soy profesor.,I am a teacher.
Soy maestro.,I am a teacher.
Soy un turista.,I am a tourist.
Yo soy una turista.,I am a tourist.
Soy un artista.,I am an artist.
Estoy exhausto.,I am exhausted.
Estoy reventado.,I am exhausted.
Estoy agotado.,I am exhausted.
Soy como ellos.,I am like them.
Yo no soy checo.,I am not Czech.
Soy demasiado bajo.,I am too short.
Soy demasiado pequeño.,I am too short.
Soy muy alto.,I am very tall.
Me comí la carne.,I ate the meat.
Comí demasiado.,I ate too much.
Te creí.,I believed you.
Apuesto a que funciona.,I bet it works.
Presto dinero.,I borrow money.
Compré un sombrero.,I bought a hat.
Me rompí una uña.,I broke a nail.
Me he roto el brazo.,I broke my arm.
Me rompí el brazo.,I broke my arm.
Me rompí la pierna.,I broke my leg.
Traje vino.,I brought wine.
Vine por ti.,I came for you.
Vine por usted.,I came for you.
Vine por vosotros.,I came for you.
Vine por ustedes.,I came for you.
Vine a pie.,I came on foot.
Puedo hacer magia.,I can do magic.
Puedo arreglar esto.,I can fix this.
Puedo ayudar a Tom.,I can help Tom.
Puedo ayudarte.,I can help you.
Puedo demostrarlo.,I can prove it.
No puedo levantarme.,I can't get up.
No lo puedo ver.,I can't see it.
Cuento con Tom.,I count on Tom.
Yo merezco más.,I deserve more.
Lo hice mal.,I did it wrong.
Os avisé.,I did warn you.
No cedí.,I didn't budge.
No engañé.,I didn't cheat.
No hice trampas.,I didn't cheat.
Yo no lo he hecho.,I didn't do it.
Yo no he conducido.,I didn't drive.
No me reí.,I didn't laugh.
Odio los huevos.,I dislike eggs.
A mí me gusta de veras el pescado.,I do like fish.
No estoy de acuerdo.,I do not agree.
Sí me doy cuenta.,I do notice it.
Lo noto.,I do notice it.
No me lo trago.,I don't buy it.
No pico.,I don't buy it.
No sigo.,I don't follow.
No entiendo.,I don't get it.
No lo cojo.,I don't get it.
No lo veo.,I don't see it.
Yo no lo veo.,I don't see it.
No lo uso.,I don't use it.
Bebo café.,I drink coffee.
No le temo a nada.,I fear nothing.
No temo nada.,I fear nothing.
Me siento en paz.,I feel at ease.
Lo siento por ti.,I feel for you.
Me siento honrado.,I feel honored.
No siento nada.,I feel nothing.
Me siento tan perdido.,I feel so lost.
Me siento atrapado.,I feel trapped.
Me siento inútil.,I feel useless.
Me sentí engañado.,I felt cheated.
Empeñé mi palabra.,I gave my word.
Yo me levanto temprano.,I get up early.
Voy a la escuela.,I go to school.
Me arrestaron.,I got arrested.
Me divorcié.,I got divorced.
Me puse nostálgico.,I got homesick.
Tenía nostalgia.,I got homesick.
Me levanté temprano.,I got up early.
Lo garantizo.,I guarantee it.
Tuve un golpe.,I had a stroke.
Me divertí.,I had some fun.
Tuve que hacerlo.,I had to do it.
Odio los lunes.,I hate Mondays.
Odio los domingos.,I hate Sundays.
Odio bailar.,I hate dancing.
Detesto bailar.,I hate dancing.
La odio ahora.,I hate her now.
Odio a los insectos.,I hate insects.
Odio planchar.,I hate ironing.
Detesto planchar.,I hate ironing.
Odio el karaoke.,I hate karaoke.
Odio a los abogados.,I hate lawyers.
Odio a mi jefe.,I hate my boss.
Odio las fiestas.,I hate parties.
Odio los acertijos.,I hate riddles.
Odio a las arañas.,I hate spiders.
Odio las espinacas.,I hate spinach.
Detesto planchar.,I hate to iron.
Odio trabajar.,I hate working.
Detesto trabajar.,I hate working.
Tengo tos.,I have a cough.
Tengo un sueño.,I have a dream.
Tengo una casa.,I have a house.
Tengo una corazonada.,I have a hunch.
Yo tengo un rancho.,I have a ranch.
Tengo un camión.,I have a truck.
Tengo una idea.,I have an idea.
No tengo comida.,I have no food.
No tengo hogar.,I have no home.
No tengo casa.,I have no home.
Ni idea.,I have no idea.
No tengo idea.,I have no idea.
No tengo esposa.,I have no wife.
No tengo nada.,I have nothing.
Tengo un escuincle.,I have one kid.
Tengo hermanas.,I have sisters.
Me tengo que esconder.,I have to hide.
Tengo que trabajar.,I have to work.
Tengo mucho hipo.,I hiccup a lot.
Ojalá que te mueras.,I hope you die.
Espero que te mueras.,I hope you die.
Espero que ganes.,I hope you win.
Me apresuré a casa.,I hurried home.
Me hice daño en el pie.,I hurt my foot.
Me lastimé el pie.,I hurt my foot.
Sencillamente me rendí.,I just gave up.
Me acabo de encontrar con él.,I just met him.
Simplemente lo quiero.,I just want it.
Lo quiero ya.,I just want it.
Lo quiero y ya está.,I just want it.
Mantuve mi palabra.,I kept my word.
Lo sé bien.,I know it well.
Conozco al chico.,I know the boy.
Me gusta el inglés.,I like English.
Me gustan los castillos.,I like castles.
Me gusta el pollo.,I like chicken.
Me gustan las galletas.,I like cookies.
Me gusta cocinar.,I like cooking.
Me gusta la pesca.,I like fishing.
Me gusta la historia.,I like history.
Me gusta trotar.,I like jogging.
Me gusta el mahjongg.,I like mahjong.
Me gusta mi vida.,I like my life.
Me gustan los fideos.,I like noodles.
Me gustan los tallarines.,I like noodles.
Me gusta ir de picnic.,I like picnics.
Me gustan los rompecabezas.,I like puzzles.
Me gusta el sashimi.,I like sashimi.
Me gustan los mariscos.,I like seafood.
Me gusta cantar.,I like singing.
Me gustan las historias.,I like stories.
Me gusta hablar.,I like talking.
Me gusta el perro.,I like the dog.
Me gusta cocinar.,I like to cook.
Me gusta cantar.,I like to sing.
Me gusta nadar.,I like to swim.
Me gusta hablar.,I like to talk.
Me gusta caminar.,I like to walk.
Me gusta trabajar.,I like to work.
Me gustan las tortugas.,I like turtles.
Me gusta caminar.,I like walking.
Me gusta trabajar.,I like working.
Me gusta escribir.,I like writing.
Me gusta la escritura.,I like writing.
Vivo en el norte.,I live upstate.
Vivo hacia el norte.,I live upstate.
Me encanta Harvard.,I love Harvard.
Adoro Harvard.,I love Harvard.
Me encanta el pollo.,I love chicken.
Me gusta el pollo.,I love chicken.
Adoro las flores.,I love flowers.
Amo a su hijo.,I love his son.
Adoro la lasaña.,I love lasagna.
Me encantan las fiestas.,I love parties.
Me encanta leer.,I love reading.
Me gustan mucho las puestas de Sol.,I love sunsets.
Me gusta el sol.,I love the sun.
Me gusta mucho el sol.,I love the sun.
Adoro ganar.,I love winning.
Me gustaba Boston.,I loved Boston.
Hice galletitas.,I made cookies.
Puede que me equivoque.,I may be wrong.
Puedo estar equivocado.,I may be wrong.
No quiero hacer daño.,I mean no harm.
Me encontré con una amiga.,I met a friend.
Lo conocí una vez.,I met him once.
Os echo de menos a todos.,I miss you all.
Tengo que comprar uno.,I must buy one.
Debo regresar.,I must go back.
Necesito un favor.,I need a favor.
Necesito una gauchada.,I need a favor.
Necesito a un doctor.,I need a medic.
Necesito un aumento.,I need a raise.
Necesito una regla.,I need a ruler.
Necesito un cigarrillo.,I need a smoke.
Necesito un bocadillo.,I need a snack.
Necesito un sello.,I need a stamp.
Necesito una toalla.,I need a towel.
Necesito respuestas.,I need answers.
Necesito tener amigos.,I need friends.
Lo necesito tan pronto como sea posible.,I need it ASAP.
Necesito mis llaves.,I need my keys.
Necesito cirugía.,I need surgery.
Necesito dejarlo.,I need to quit.
Necesito descansar.,I need to rest.
Tengo que parar.,I need to stop.
Necesito trabajar.,I need to work.
Necesitaba dinero.,I needed money.
Viajo a menudo.,I often travel.
Le debo cien dólares.,I owe him $100.
Tengo este auto.,I own this car.
Le pago bien a Tom.,I pay Tom well.
Yo pago mis impuestos.,I pay my taxes.
Me declaro culpable.,I plead guilty.
Se lo prometí a Tom.,I promised Tom.
Castigué a Tom.,I punished Tom.
Dejé de fumar.,I quit smoking.
Yo crío ganado.,I raise cattle.
Me acuerdo de Tom.,I remember Tom.
Ahora recuerdo.,I remember now.
Te recuerdo.,I remember you.
Me acuerdo de ti.,I remember you.
Dije que te largues.,I said go away.
Dije que adiós.,I said goodbye.
No dije nada.,I said nothing.
¡Te dije que te calles!,I said shut up!
¡Dije cierra la boca!,I said shut up!
Vi a un amigo.,I saw a friend.
Vi a una amiga.,I saw a friend.
Vi a cinco hombres.,I saw five men.
La vi nadar.,I saw her swim.
Le vi saltar.,I saw him jump.
Yo lo vi primero.,I saw it first.
Lo vi en la televisión.,I saw it on TV.
Vi a alguien.,I saw somebody.
Vi las noticias.,I saw the news.
Estornudo mucho.,I sneeze a lot.
Vendí el auto.,I sold the car.
Hablo francés.,I speak French.
Yo hablo francés.,I speak French.
Estudio francés.,I study French.
Estudio coreano.,I study Korean.
Yo estudio coreano.,I study Korean.
Enseño francés.,I teach French.
Giré a la derecha.,I turned right.
Quisiera un vaso.,I want a glass.
Quiero un cuchillo.,I want a knife.
Quiero un perrito.,I want a puppy.
Quiero un cachorrito.,I want a puppy.
Quiero otro.,I want another.
Quiero el ventilador.,I want the fan.
Quiero ayudar.,I want to help.
Quiero saberlo.,I want to know.
Quiero vivir.,I want to live.
Quiero jugar.,I want to play.
Quiero renunciar.,I want to quit.
Quiero descansar.,I want to rest.
Quiero hablar.,I want to talk.
Quiero trabajar.,I want to work.
Era todo oídos.,I was all ears.
Fui un idiota.,I was an idiot.
Era un idiota.,I was an idiot.
Fui una idiota.,I was an idiot.
Era una idiota.,I was an idiot.
Fui arrestado.,I was arrested.
Fui arrestada.,I was arrested.
Estaba descalzo.,I was barefoot.
Fui capturado.,I was captured.
Estaba soñando.,I was dreaming.
Fui ofendido.,I was insulted.
Me estaba riendo.,I was laughing.
Estaba de vacaciones.,I was on leave.
Yo era inquieto.,I was restless.
Estaba durmiendo.,I was sleeping.
Estaba sudando.,I was sweating.
Estaba excitado.,I was thrilled.
Yo era demasiado rápido.,I was too fast.
Fui bienvenido.,I was welcomed.
Estaba agotado.,I was worn out.
No estaba borracho.,I wasn't drunk.
No estaba ebrio.,I wasn't drunk.
No era feliz.,I wasn't happy.
No tuve suerte.,I wasn't lucky.
No estaba listo.,I wasn't ready.
Yo no estaba allí.,I wasn't there.
Uso gafas.,I wear glasses.
Fui a pescar.,I went fishing.
Fui a pie.,I went on foot.
Prosperaré.,I will prosper.
Te demandaré.,I will sue you.
Desearía poder.,I wish I could.
Ojalá pudiera.,I wish I could.
Sería cuidadoso.,I'd be careful.
Sería un honor para mí.,I'd be honored.
Preferiría morir.,I'd rather die.
Preferiría que no.,I'd rather not.
Preguntaré más tarde.,I'll ask later.
Voy a preguntar más tarde.,I'll ask later.
Estaré cerca.,I'll be around.
Estaré por ahí.,I'll be around.
Voy a estar por ahí.,I'll be around.
Seré directo.,I'll be direct.
Voy a ser directo.,I'll be direct.
Los llamaré.,I'll call them.
Volveré.,I'll come back.
Voy a tomar un taxi.,I'll get a cab.
Me encargaré de eso.,I'll get on it.
Me ocuparé de eso.,I'll get on it.
Iré en auto.,I'll go by car.
Iré en coche.,I'll go by car.
Yo me ocuparé de ello.,I'll handle it.
Pagaré la extra.,I'll pay extra.
Pagaré más tarde.,I'll pay later.
Pagaré hoy.,I'll pay today.
Te llamaré.,I'll phone you.
Lo regañaré.,I'll scold him.
Le reñiré.,I'll scold him.
Yo me ocuparé.,I'll see to it.
Te pego un tiro.,I'll shoot you.
Me voy a quedar acá.,I'll stay here.
Me quedaré en casa.,I'll stay home.
Me voy a quedar en casa.,I'll stay home.
Le voy a enseñar a Tomás.,I'll teach Tom.
Le daré las gracias a Tom.,I'll thank Tom.
Te invitaré.,I'll treat you.
Yo esperaré aquí.,I'll wait here.
Soy el jefe de Tom.,I'm Tom's boss.
Soy la esposa de Tom.,I'm Tom's wife.
Soy principiante.,I'm a beginner.
Estoy un poco ocupada.,I'm a bit busy.
Soy diabética.,I'm a diabetic.
Soy un hombre libre.,I'm a free man.
Soy un buen tipo.,I'm a good guy.
Soy músico.,I'm a musician.
Soy un buen sujeto.,I'm a nice guy.
Soy un prisionero.,I'm a prisoner.
Soy un hombre de negocios.,I'm a salesman.
Voy con todas por eso.,I'm all for it.
Estoy sola acá.,I'm alone here.
Soy ateo.,I'm an atheist.
Soy un anciano.,I'm an old man.
Estoy asombrada.,I'm astonished.
Está detrás de él.,I'm behind him.
Estoy muerta de cansancio.,I'm dead tired.
Soy confiable.,I'm dependable.
Estoy devastada.,I'm devastated.
Soy diplomática.,I'm diplomatic.
Ahora estoy comiendo.,I'm eating now.
Estoy comiendo ahora.,I'm eating now.
Estoy fascinada.,I'm fascinated.
Lo estoy sintiendo.,I'm feeling it.
Soy de Kioto.,I'm from Kyoto.
Soy de Tokio.,I'm from Tokyo.
Voy de regreso.,I'm going back.
Me estoy quedando calvo.,I'm going bald.
"Tom, soy feliz.","I'm happy, Tom."
Me estoy divirtiendo.,I'm having fun.
Estoy apurado.,I'm in a hurry.
Estoy en el coche.,I'm in the car.
Estoy interesado.,I'm interested.
Estoy interesada.,I'm interested.
Soy solo un niño.,I'm just a kid.
Estoy enfadado contigo.,I'm mad at you.
Estoy preparando té.,I'm making tea.
Estoy meditando.,I'm meditating.
Yo no renuncio así nada más.,I'm no quitter.
Ya no soy un bebé.,I'm not a baby.
No soy un héroe.,I'm not a hero.
No tengo miedo.,I'm not afraid.
No estoy asustado.,I'm not afraid.
No estoy llorando.,I'm not crying.
No soy famoso.,I'm not famous.
No soy culpable.,I'm not guilty.
No me estoy escondiendo.,I'm not hiding.
No estoy loco.,I'm not insane.
No estoy loca.,I'm not insane.
No estoy bromeando.,I'm not joking.
No soy racista.,I'm not racist.
No tengo miedo.,I'm not scared.
No estoy asustado.,I'm not scared.
No soy delgado.,I'm not skinny.
No tengo sueño.,I'm not sleepy.
No soy tan mayor.,I'm not so old.
No soy fuerte.,I'm not strong.
Yo estoy aquí a menudo.,I'm often here.
Soy suficientemente mayor.,I'm old enough.
Estoy de vacaciones.,I'm on holiday.
Solo soy humano.,I'm only human.
Soy optimista.,I'm optimistic.
Estoy sin bencina.,I'm out of gas.
Lo estoy leyendo.,I'm reading it.
Soy muy viejo.,I'm really old.
Estoy de reforma.,I'm remodeling.
Estoy tan emocionado.,I'm so excited.
Estoy muy emocionada.,I'm so excited.
Tengo tanta sed.,I'm so thirsty.
¡Soy tan desafortunado!,I'm so unlucky!
Estoy sin palabras.,I'm speechless.
Todavía estoy ocupado.,I'm still busy.
Todavía estoy ocupada.,I'm still busy.
Todavía estoy acá.,I'm still here.
Todavía estoy aquí.,I'm still here.
Soy el más viejo.,I'm the oldest.
Me desnudo.,I'm undressing.
Me estoy desvistiendo.,I'm undressing.
Me estoy desnudando.,I'm undressing.
Me estoy sacando la ropa.,I'm undressing.
Estoy en paro.,I'm unemployed.
Estoy desempleado.,I'm unemployed.
Estoy parado.,I'm unemployed.
Estoy desempleada.,I'm unemployed.
Estoy acostumbrado.,I'm used to it.
Estoy acostumbrada.,I'm used to it.
Estoy muy enojada.,I'm very angry.
Estoy muy enojado.,I'm very angry.
Soy muy rudo.,I'm very blunt.
Soy muy feliz.,I'm very happy.
Soy muy pequeño.,I'm very short.
Lo siento mucho.,I'm very sorry.
Estoy muy cansado.,I'm very tired.
Estoy muy despierto.,I'm wide awake.
Me vieron.,I've been seen.
Me dispararon.,I've been shot.
Me demandaron.,I've been sued.
Me lo gané.,I've earned it.
Tengo un hijo.,I've got a son.
He hecho guiso.,I've made stew.
He visto eso.,I've seen that.
Lo he visto.,I've seen that.
Los he visto.,I've seen them.
Los vi.,I've seen them.
¡Ojalá lo supiera!,If only I knew!
¿Está Tom en casa?,Is Tom at home?
¿Tom está herido?,Is Tom injured?
¿Tom está celoso?,Is Tom jealous?
¿Tom está bromeando?,Is Tom kidding?
¿Tomás está casado?,Is Tom married?
¿Alguien está lastimado?,Is anyone hurt?
¿Se lastimó alguien?,Is anyone hurt?
¿Él es americano?,Is he American?
¿Es él japonés?,Is he Japanese?
¿Es médico?,Is he a doctor?
¿Es doctor?,Is he a doctor?
¿Él es un médico?,Is he a doctor?
¿Está durmiendo?,Is he sleeping?
¿Está dormido?,Is he sleeping?
¿Es posible?,Is it possible?
¿Es demasiado tarde?,Is it too late?
¿Está ella en casa?,Is she at home?
¿Está sano?,Is she healthy?
¿Eso es francés?,Is that French?
¿Es eso un oso?,Is that a bear?
¿Está mejor?,Is that better?
¿Eso es suficiente?,Is that enough?
¿Es para mí?,Is that for me?
¿Es eso probable?,Is that likely?
¿Es esto normal?,Is that normal?
¿Acaso es tan malo?,Is that so bad?
¿Esto es francés?,Is this French?
¿Es esto una broma?,Is this a hoax?
¿Es esto un engaño?,Is this a hoax?
¿Es esto una trampa?,Is this a hoax?
¿Es esto normal?,Is this normal?
¿No es negro?,Isn't it black?
¿Acaso no es negro?,Isn't it black?
¿No es negra?,Isn't it black?
Se puede hacer.,It can be done.
Puede hacerse.,It can be done.
No funcionó.,It didn't work.
Se pone mejor.,It gets better.
Mejora.,It gets better.
Tiene que parar.,It has to stop.
Es sábado.,It is Saturday.
Es un secreto.,It is a secret.
Es tan temprano.,It is so early.
Se ve estupendo.,It looks great.
Es posible que eso sea cierto.,It may be true.
Puede ser cierto.,It may be true.
Huele bien.,It smells good!
¡Huele rico!,It smells good!
Parece fácil.,It sounds easy.
Era un sueño.,It was a dream.
Era un ratón.,It was a mouse.
Fue ameno.,It was amusing.
Era para Tom.,It was for Tom.
Eso fue idea mía.,It was my idea.
Era idea mía.,It was my idea.
Era mi turno.,It was my turn.
Era mi hora.,It was my turn.
No era nada.,It was nothing.
Estaba a la venta.,It was on sale.
Estaba en venta.,It was on sale.
Era perfecto.,It was perfect.
Fue planeado.,It was planned.
Había nevado.,It was snowing.
Estaba nevando.,It was snowing.
Nevó.,It was snowing.
Nevaba.,It was snowing.
Estaba tan bien.,It was so good.
No fue fácil.,It wasn't easy.
No era difícil.,It wasn't hard.
No fue difícil.,It wasn't hard.
No era de ella.,It wasn't hers.
No fue suerte.,It wasn't luck.
No era nuestro.,It wasn't ours.
No era nuestra.,It wasn't ours.
No fue real.,It wasn't real.
No era eso.,It wasn't that.
No cederá.,It won't budge.
